"","Pclass","Sex","Age","SibSp","Parch","Fare","Survived"
"73","3","female",0.380192535935646,0,"0",0.0154685698179998,0
"74","1","male",0.373598839509429,0,"0",0.0541073981338561,0
"75","1","female",0.459316893050244,0,"0",0.412820506814759,1
"76","1","male",0.426348410919161,0,"0",0.412820506814759,0
"77","3","male",0.366382785742053,0,"0",0.0157125535690724,0
"78","1","female",0.723064750098905,2,"0",0.0501630592205168,0
"79","2","male",0.393379928788079,0,"0",0.0253743101115455,1
"80","3","female",0.31425557167348,0,"0",0.0151269925664983,1
"81","3","male",0.0768825003296848,1,"1",0.0297578197768154,0
"82","1","male",0.881313464328102,1,"0",0.432884169006959,1
"83","1","male",0.643940392984307,0,"0",0.0507486202230909,1
"84","3","male",0.365420768821739,0,"0",0.0154115752137493,0
"85","2","male",0.408680233017973,0,"0",0.0209012096128817,1
"86","3","male",0.349358607523728,1,"0",0.0282127194780231,1
"87","3","female",0.353817750230779,0,"0",0.0153791741716068,0
"88","3","female",0.235131214558882,0,"0",0.0157125535690724,0
"89","3","female",0.328805444965405,0,"0",0.0151269925664983,1
"90","2","male",0.0241329289199525,1,"1",0.0448930101973497,0
"91","3","female",0.287880785968614,1,"0",0.0271309931192678,0
"92","3","male",0.368832021622783,0,"0",0.0151757893167128,0
"93","1","female",0.353817750230779,1,"2",0.101497240446182,0
"94","3","male",0.366382785742053,0,"0",0.0157125535690724,0
"95","1","male",0.327442964525913,0,"0",0.0507486202230909,0
"96","3","male",0.327442964525913,0,"0",0.0152163882128912,0
"97","1","female",1,1,"0",0.153904950176566,0
"98","3","male",0.380192535935646,0,"0",0.0154685698179998,1
"99","3","female",0.261506000263748,0,"0",0.0153303774213923,1
"100","3","male",0.432942107345378,0,"0",0.0157125535690724,0
"101","1","female",0.564816035869709,1,"0",0.108214991454713,0
"102","2","male",0.353817750230779,1,"0",0.0507486202230909,0
"103","3","male",0.393857669040554,0,"0",0.0151269925664983,0
"104","3","male",0.340630357378346,0,"0",0.0151757893167128,0
"105","3","female",0.208756428854016,1,"1",0.0166234913020769,0
"106","3","male",0.367005143083212,0,"0",0.043965871943274,0
"107","3","male",0.274693393116181,0,"0",0.0152651849631058,1
"108","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"109","3","male",0.35686030984412,0,"0",0.0170056674497569,0
"110","2","male",0.241724910985098,0,"0",0.0253743101115455,1
"111","2","male",0.538441250164842,0,"0",0.0293674457750993,0
"112","3","female",0.321783656194616,0,"0",0.0151839871707488,0
"113","1","female",0.472504285902677,0,"0",0.0618336803758209,0
"114","3","female",0.241724910985098,0,"0",0.0142160548334938,0
"115","1","female",0.82856389291837,1,"0",0.432884169006959,0
"116","3","male",0.235131214558882,1,"0",0.0282127194780231,0
"117","3","male",0.430499084220446,0,"0",0.0125651631802365,0
"118","3","female",0.0109455360675195,1,"1",0.032596229143293,0
"119","1","male",0.472504285902677,0,"0",0.146862017624605,0
"120","2","female",0.380192535935646,1,"0",0.0507486202230909,0
"121","2","female",0.156006857444283,0,"0",0.0307419526351416,0
"122","3","male",0.350125199986361,1,"0",0.0151269925664983,0
"123","1","female",0.459316893050244,1,"0",0.112720492995519,0
"124","3","male",0.367005143083212,0,"0",0.014151057562208,1
"125","3","male",0.393857669040554,0,"0",0.0151269925664983,0
"126","3","female",0.221943821706449,0,"1",0.0314251071381448,1
"127","3","male",0.287880785968614,0,"0",0.0152163882128912,0
"128","3","female",0.302218401692761,2,"0",0.0453809776994948,1
"129","2","male",0.551628643017275,0,"0",0.0253743101115455,1
"130","3","male",0.31425557167348,0,"0",0.0157125535690724,0
"131","3","male",0.419754714492945,0,"0",0.0157125535690724,0
"132","1","male",0.696689964394039,0,"0",0.055628295244542,0
"133","3","female",0.454042191376313,0,"4",0.049707687947515,0
"134","3","male",0.366438075164483,1,"0",0.0125651631802365,1
"135","3","male",0.564816035869709,0,"0",0.0154115752137493,0
"136","3","male",0.31425557167348,0,"0",0.0153303774213923,0
"137","3","male",0.347224053804563,0,"0",0.0141022608119935,1
"138","2","male",0.340630357378346,0,"0",0.0253743101115455,0
"139","3","female",0.301068178821047,0,"0",0.0157125535690724,0
"140","3","male",0.525253857312409,1,"6",0.0915427034024217,0
"141","3","female",0.129632071739417,5,"2",0.0915427034024217,0
"142","1","female",0.432942107345378,0,"0",0.295805899800363,1
"143","1","male",0.802189107213504,1,"3",0.512121893501288,1
"144","2","male",0.367005143083212,0,"0",0.0507486202230909,0
"145","1","male",0.551628643017275,0,"0",0.0518221487278102,0
"146","3","male",0.406567321640512,3,"0",0.0351336601544476,0
"147","1","male",0.568456081856749,0,"0",0.101228858320002,1
"148","3","male",0.287880785968614,0,"0",0.0157125535690724,0
"149","1","male",0.579943732592176,0,"0",0.0518221487278102,0
"150","2","male",0.393379928788079,1,"1",0.0507486202230909,0
"151","1","female",0.301068178821047,0,"1",0.162314191734533,0
"152","3","male",0.365420768821739,0,"0",0.0154115752137493,1
"153","3","male",0.795595410787287,0,"0",0.0192167493233034,0
"154","3","female",0.472504285902677,0,"2",0.0237802178755378,0
"155","3","male",0.169194250296716,4,"2",0.0612643198943179,0
"156","3","male",0.31425557167348,0,"0",0.0147366185647822,0
"157","1","female",0.380192535935646,0,"0",0.432884169006959,1
"158","3","female",0.301068178821047,0,"0",0.0153303774213923,0
"159","1","male",0.551628643017275,0,"0",0.0518221487278102,0
"160","3","female",0.340630357378346,0,"2",0.0268870093681953,0
"161","3","female",0.308730113904901,0,"0",0.015094396337355,0
"162","3","male",0.0900698931821179,1,"1",0.0297578197768154,1
"163","2","female",0.340630357378346,0,"0",0.0263502451158357,0
"164","3","male",0.392246871511847,0,"0",0.0136630900600629,0
"165","2","male",0.538441250164842,0,"0",0.0253743101115455,0
"166","3","female",0.340630357378346,1,"1",0.0429899369389838,1
"167","1","male",0.630753000131874,0,"0",0.0985612375792752,1
"168","3","male",0.235131214558882,2,"2",0.067095531544952,0
"169","1","female",0.548215471566944,0,"0",0.0541073981338561,0
"170","3","female",0.287880785968614,0,"0",0.017493634951902,0
"171","3","male",0.379894835459144,0,"0",0.0147366185647822,0
"172","3","male",0.353817750230779,0,"0",0.0141022608119935,0
"173","3","male",0.301068178821047,1,"0",0.0271309931192678,1
"174","3","male",0.373752703786614,0,"0",0.0141104586660296,0
"175","3","male",0.525253857312409,1,"5",0.0612643198943179,0
"176","2","female",0.195569036001582,0,"2",0.0761229303346364,0
"177","2","female",0.261506000263748,0,"0",0.0717312228153305,0
"178","1","male",0.709877357246472,1,"0",0.108214991454713,0
"179","2","female",0.472504285902677,0,"3",0.0761229303346364,0
"180","1","female",0.841751285770803,0,"2",0.162314191734533,0
"181","2","male",0.393379928788079,0,"0",0.0253743101115455,0
"182","1","male",0.48569167875511,1,"1",0.162314191734533,0
"183","1","female",0.235131214558882,1,"0",0.10364429745562,0
"184","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"185","1","female",0.353817750230779,1,"1",0.483128426019833,1
"186","2","male",0.525253857312409,0,"0",0.0312299201372867,0
"187","2","female",0.274693393116181,0,"1",0.0409892701801888,1
"188","3","male",0.221943821706449,2,"0",0.0157125535690724,1
"189","3","female",0.259043511824234,8,"2",0.135752559096768,0
"190","2","male",0.525253857312409,0,"0",0.0253743101115455,0
"191","2","male",0.446129500197811,1,"0",0.0507486202230909,1
"192","1","male",0.562507608647534,0,"0",0.0507486202230909,0
"193","3","male",0.149413161018067,1,"1",0.0283021151244161,1
"194","2","male",0.802189107213504,0,"0",0.0241055946059682,1
"195","2","male",0.103257286034551,0,"2",0.0634357752788637,1
"196","3","male",0.432942107345378,0,"0",0.0153303774213923,1
"197","1","male",0.0768825003296848,0,"2",0.262526516154067,0
"198","3","female",0.235131214558882,0,"0",0.0151757893167128,0
"199","2","male",0.301068178821047,0,"0",0.0204946350900944,1
"200","3","female",0.319497581719693,0,"0",0.0158345454446087,0
"201","3","female",0.326276970447453,0,"0",0.0302539851329965,0
"202","3","male",0.00210998285638929,0,"2",0.0281069281235581,0
"203","1","male",0.617565607279441,1,"0",0.44409922370226,0
"204","2","female",0.103257286034551,1,"1",0.0507486202230909,0
"205","2","male",0.327442964525913,0,"0",0.0204946350900944,1
"206","1","male",0.56533090957185,0,"0",0.0502444521998746,0
"207","3","female",0.459316893050244,0,"0",0.0151269925664983,0
"208","2","male",0.31425557167348,0,"0",0.0204946350900944,1
"209","1","female",0.432942107345378,0,"0",0.0541073981338561,1
"210","3","male",0.327442964525913,0,"0",0.0154115752137493,1
"211","3","male",0.419754714492945,0,"0",0.043965871943274,0
"212","3","male",0.381364626965571,0,"0",0.013760683560492,1
"213","2","male",0.221943821706449,0,"0",0.143462445630661,0
"214","2","female",0.789001714361071,1,"0",0.0507486202230909,0
"215","3","female",0.498879071607543,4,"2",0.0151757893167128,0
"216","1","male",0.551628643017275,0,"0",0.0829544753646679,1
"217","3","female",0.321465207803557,0,"0",0.0153791741716068,1
"218","1","male",0.749439535803772,1,"1",0.321798367143626,0
"219","1","female",0.65712778583674,1,"1",0.412820506814759,1
"220","3","male",0.366382785742053,0,"0",0.0157125535690724,0
"221","2","female",0.393379928788079,1,"0",0.02704960013991,1
"222","3","male",0.274693393116181,0,"0",0.0157125535690724,0
"223","2","female",0.287880785968614,0,"0",0.0204946350900944,0
"224","3","male",0.274693393116181,0,"0",0.0152163882128912,0
"225","1","female",0.696689964394039,0,"0",0.0535706338814965,1
"226","3","female",0.306052139719429,0,"2",0.0297578197768154,0
"227","3","male",0.301068178821047,0,"0",0.0152163882128912,1
"228","3","female",0.328805444965405,0,"0",0.0151269925664983,0
"229","3","male",0.531847553738626,0,"0",0.0294732371295643,0
"230","2","male",0.472504285902677,0,"0",0.0253743101115455,0
"231","2","male",0.182381643149149,0,"0",0.126871550557727,1
"232","1","female",0.274693393116181,0,"0",0.0518221487278102,0
"233","3","male",0.274693393116181,1,"0",0.0126789572017367,0
"234","3","male",0.364859929983668,0,"0",0.0153791741716068,1
"235","1","male",0.512066464459976,1,"0",0.139135735382641,0
"236","3","male",0.261506000263748,0,"0",0.0153303774213923,0
"237","1","male",0.841751285770803,1,"0",0.146878218145677,0
"238","3","male",0.261506000263748,0,"0",0.0141022608119935,1
"239","2","female",0.235131214558882,1,"1",0.0253743101115455,0
"240","1","female",0.630753000131874,1,"0",0.207727765663171,0
"241","1","female",0.723064750098905,0,"0",0.0541073981338561,0
"242","2","female",0.591190821574575,0,"2",0.0585561002574126,1
"243","1","male",0.591190821574575,1,"1",0.262526516154067,0
"244","3","male",0.364859929983668,0,"0",0.0153953746926781,0
"245","3","male",0.212060215281807,1,"2",0.0457713517012109,0
"246","1","male",0.538441250164842,1,"0",0.101228858320002,0
"247","2","female",0.287880785968614,0,"0",0.0409892701801888,0
"248","2","male",0.551628643017275,1,"1",0.0634357752788637,1
"249","2","female",0.380192535935646,1,"0",0.0507486202230909,1
"250","3","female",0.319339629195149,1,"0",0.0282127194780231,0
"251","2","female",0.00989054463932481,1,"2",0.0541643927381067,0
"252","3","male",0.261506000263748,0,"0",0.0154685698179998,0
"253","1","male",0.353817750230779,1,"0",0.266975218277623,0
"254","3","male",0.31425557167348,0,"0",0.0182011878300124,0
"255","3","male",0.426348410919161,0,"0",0.018542765081514,0
"256","3","male",0.379894835459144,0,"0",0.0147366185647822,1
"257","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"258","3","male",0.367005143083212,0,"0",0.0157125535690724,1
"259","2","female",0.248318607411315,0,"0",0.0253743101115455,1
"260","3","male",0.274693393116181,0,"0",0.0151757893167128,1
"261","3","male",0.479097982328894,1,"0",0.0339625381492993,0
"262","3","male",0.274693393116181,0,"0",0.0153303774213923,1
"263","2","female",0.380192535935646,0,"2",0.0448930101973497,0
"264","3","female",0.0109455360675195,1,"1",0.0237802178755378,0
"265","2","male",0.393379928788079,0,"0",0.0248619442342931,0
"266","3","male",0.365420768821739,0,"0",0.0154115752137493,0
"267","1","male",0.551155343257448,0,"0",0,0
"268","3","male",0.379894835459144,0,"0",0.0147366185647822,1
"269","3","female",0.320273337598666,0,"0",0.0157125535690724,1
"270","3","male",0.221943821706449,0,"0",0.0169080739493279,1
"271","1","male",0.604378214427008,0,"0",0.146862017624605,0
"272","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"273","1","female",0.340630357378346,1,"0",0.266975218277623,1
"274","3","female",0.353837692722163,1,"0",0.0302539851329965,0
"275","3","male",0.375541835425285,0,"0",0.0141022608119935,1
"276","2","female",0.261506000263748,1,"0",0.0507486202230909,1
"277","2","male",0.367005143083212,0,"0",0.0204946350900944,0
"278","2","male",0.525253857312409,1,"0",0.0507486202230909,0
"279","2","male",0.393379928788079,1,"0",0.0409892701801888,0
"280","2","male",0.287880785968614,0,"0",0.0204946350900944,1
"281","3","female",0.301068178821047,0,"0",0.0169080739493279,0
"282","3","male",0.00764868785441118,1,"1",0.0268870093681953,0
"283","3","female",0.328805444965405,0,"0",0.0151269925664983,0
"284","3","female",0.116444678886984,1,"1",0.0297578197768154,1
"285","3","female",0.0241329289199525,1,"1",0.0394521725484317,0
"286","3","male",0.472504285902677,0,"0",0.014151057562208,0
"287","3","male",0.377865297619986,0,"0",0.014151057562208,1
"288","1","male",0.31425557167348,1,"0",0.160573904434883,0
"289","3","male",0.373752703786614,0,"0",0.0141104586660296,1
"290","3","male",0.366382785742053,0,"0",0.0157125535690724,1
"291","1","male",0.553543897633369,0,"0",0.0772940523397847,1
"292","3","female",0.393379928788079,0,"0",0.0135654965596339,1
"293","3","male",0.373752703786614,0,"0",0.0141104586660296,0
"294","1","male",0.696689964394039,1,"1",0.159776760723379,0
"295","3","male",0.472504285902677,0,"0",0.018542765081514,0
"296","3","male",0.340630357378346,0,"0",0.0154115752137493,0
"297","2","female",0.0109455360675195,1,"2",0.081157193460767,0
"298","3","male",0.308314531082981,2,"0",0.0423149802900167,0
"299","1","male",0.393379928788079,0,"0",0.0888100853904091,1
"300","3","male",0.380192535935646,0,"0",0.0153303774213923,1
"301","3","male",0.419754714492945,0,"0",0.0151757893167128,1
"302","2","male",0.446602099887842,0,"0",0.0293674457750993,1
"303","2","male",0.564816035869709,0,"1",0.0409892701801888,0
"304","3","male",0.31425557167348,0,"0",0.0169080739493279,1
"305","3","female",0.328805444965405,0,"0",0.0151269925664983,0
"306","1","female",0.841751285770803,1,"1",0.0518221487278102,1
"307","1","male",0.393379928788079,1,"2",0.295805899800363,1
"308","3","male",0.00870367928260583,0,"1",0.0182499845802269,1
"309","1","male",0.723064750098905,1,"1",0.182499845802269,0
"310","3","female",0.591190821574575,1,"0",0.0275375676420551,1
"311","3","male",0.235131214558882,0,"0",0.0169080739493279,1
"312","3","male",0.287880785968614,0,"0",0.0141022608119935,1
"313","3","male",0.379894835459144,0,"0",0.0147854153149967,0
"314","3","female",0.48569167875511,0,"0",0.0151269925664983,0
"315","1","female",0.723064750098905,0,"0",0.264738570434791,0
"316","3","female",0.221943821706449,0,"0",0.015094396337355,1
"317","1","male",0.749439535803772,1,"0",0.28598955515321,1
"318","2","male",0.248318607411315,0,"0",0.0204946350900944,0
"319","3","male",0.353817750230779,0,"0",0.0153303774213923,1
"320","2","male",0.287880785968614,2,"0",0.0614839052702832,1
"321","3","male",0.340630357378346,0,"0",0.0151757893167128,0
"322","3","male",0.327442964525913,0,"0",0.0141104586660296,0
"323","2","male",0.340630357378346,0,"0",0.0253743101115455,1
"324","1","male",0.432942107345378,0,"0",0.0518221487278102,1
"325","1","female",0.512066464459976,0,"0",0.412503327938365,0
"326","3","male",0.301068178821047,0,"0",0.013760683560492,1
"327","2","female",0.156006857444283,2,"1",0.0761229303346364,0
"328","1","male",0.604378214427008,0,"0",0.154588104679569,1
"329","2","male",0.380192535935646,1,"0",0.0507486202230909,1
"330","2","male",0.274693393116181,0,"0",0.0253743101115455,1
"331","2","female",0.630753000131874,0,"2",0.0717312228153305,1
"332","1","male",0.512066464459976,0,"0",0.0579705392548385,0
"333","3","male",0.375541835425285,0,"0",0.0141022608119935,0
"334","3","female",0.248318607411315,1,"1",0.0307257521140704,0
"335","3","male",0.353817750230779,0,"0",0.0154115752137493,1
"336","1","male",0.393379928788079,0,"0",0.0507486202230909,0
"337","2","male",0.419754714492945,0,"0",0.0253743101115455,0
"338","3","male",0.512066464459976,0,"2",0.0141104586660296,1
"339","2","male",0.327442964525913,0,"0",0.0614839052702832,1
"340","3","male",0.373752703786614,0,"0",0.0141104586660296,0
"341","2","male",0.235131214558882,0,"0",0.0204946350900944,1
"342","3","male",0.419754714492945,0,"0",0.0147936131690327,1
"343","3","male",0.383463088446876,1,"9",0.135752559096768,0
"344","1","female",0.762626928656205,0,"1",1,0
"345","3","male",0.21253496772384,1,"1",0.0283021151244161,0
"346","3","female",0.208756428854016,0,"0",0.0149318055656402,1
"347","2","male",0.340630357378346,0,"0",0.0253743101115455,1
"348","3","female",0.498879071607543,0,"0",0.0141104586660296,1
"349","2","male",0.31425557167348,0,"0",0.0263502451158357,1
"350","2","female",0.406567321640512,0,"0",0.0409892701801888,0
"351","1","female",0.591190821574575,0,"1",0.123667165564641,0
"352","2","male",0.327442964525913,0,"0",0.0204946350900944,0
"353","2","male",0.235131214558882,0,"0",0.143462445630661,0
"354","2","male",0.643940392984307,1,"2",0.126871550557727,0
"355","3","female",0,1,"2",0.0401597254265421,0
"356","1","male",0.65712778583674,0,"0",0.0507486202230909,0
"357","1","female",0.775814321508638,2,"0",0.100480706545713,1
"358","3","male",0.364859929983668,0,"0",0.0153791741716068,0
"359","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"360","3","female",0.393379928788079,1,"0",0.0303515786334255,1
"361","3","male",0.188975339575366,8,"2",0.135752559096768,0
"362","2","female",0.31425557167348,1,"1",0.0722273881715116,0
"363","2","female",0.406567321640512,0,"0",0.0409892701801888,0
"364","3","male",0.353817750230779,0,"0",0.0169080739493279,0
"365","1","female",0.327442964525913,1,"0",0.108214991454713,0
"366","3","female",0.394352606404286,1,"9",0.135752559096768,0
"367","3","male",0.349358607523728,1,"0",0.0282207221450583,1
"368","3","female",0.287880785968614,0,"0",0.0774648409655354,1
"369","1","female",0.591190821574575,0,"1",0.115941078509677,1
"370","2","male",0.380192535935646,0,"0",0.02704960013991,1
"371","2","male",0.274693393116181,1,"0",0.0224465050986748,1
"372","1","female",0.406567321640512,0,"0",0.262526516154067,0
"373","1","male",0.643940392984307,0,"0",0,0
"374","2","male",0.578003428722142,0,"0",0.0253743101115455,0
"375","1","female",0.709877357246472,1,"1",0.159776760723379,0
"376","1","female",0.591190821574575,0,"0",0.512121893501288,1
"377","3","female",0.287880785968614,2,"0",0.0169080739493279,1
"378","2","male",0.274693393116181,0,"0",0.0224465050986748,0
"379","1","male",0.723064750098905,0,"0",0.097593500429021,0
"380","3","male",0.0636951074772518,4,"2",0.0612643198943179,0
"381","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"382","3","male",0.340630357378346,0,"0",0.0153791741716068,1
"383","3","female",0.328006117382983,0,"0",0.0283021151244161,0
"384","3","female",0.248318607411315,1,"0",0.0314251071381448,1
"385","2","male",0.437347485205849,0,"0",0.0251303263604729,0
"386","2","female",0.31425557167348,1,"2",0.126871550557727,0
"387","3","male",0.31425557167348,0,"0",0.0151757893167128,0
"388","2","male",0.749439535803772,0,"0",0.0253743101115455,1
"389","3","male",0.274693393116181,0,"0",0.0151269925664983,0
"390","3","male",0.0768825003296848,3,"1",0.0411356604308324,1
"391","1","male",0.301068178821047,0,"0",0.182499845802269,1
"392","1","female",0.670315178689173,0,"1",0.0769036783380686,1
"393","3","male",0.169194250296716,0,"2",0.0395253676737535,0
"394","2","male",0.617565607279441,0,"0",0.0204946350900944,1
"395","3","male",0.380192535935646,3,"1",0.0429899369389838,1
"396","1","female",0.235131214558882,1,"0",0.117112200514825,0
"397","3","male",0.31425557167348,0,"0",0.014151057562208,0
"398","1","female",0.630753000131874,1,"1",0.154588104679569,0
"399","3","male",0.287880785968614,0,"0",0.0151757893167128,0
"400","3","male",0.406567321640512,0,"0",0.015094396337355,1
"401","1","female",0.393379928788079,0,"0",0.321798367143626,1
"402","2","male",0.498879071607543,1,"0",0.0409892701801888,0
"403","1","female",0.287880785968614,0,"1",0.115941078509677,0
"404","1","male",0.221943821706449,0,"0",0.0919330774041378,0
"405","1","male",0.564816035869709,1,"0",0.0541073981338561,0
"406","2","male",0.261506000263748,0,"0",0.0270577979939461,0
"407","2","male",0.301068178821047,1,"0",0.0204946350900944,0
"408","1","male",0.65712778583674,1,"1",0.412820506814759,1
"409","3","female",0.311862283836161,0,"0",0.0150699979622477,0
"410","3","female",0.0373203217723856,1,"1",0.0268870093681953,0
"411","3","female",0.328805444965405,0,"0",0.0151269925664983,0
"412","1","female",0.48569167875511,1,"0",0.175668300772238,0
"413","3","female",0.367005143083212,0,"0",0.0151757893167128,1
"414","3","male",0.366382785742053,0,"0",0.0157125535690724,0
"415","1","female",0.512066464459976,0,"0",0.212558643934408,1
"416","3","male",0.50547276803376,0,"0",0.014151057562208,0
"417","3","male",0.366382785742053,0,"0",0.0157125535690724,1
"418","3","male",0.289331125207489,1,"1",0.0436404952128436,1
"419","3","male",0.287880785968614,1,"0",0.014151057562208,0
"420","1","female",0.498879071607543,1,"0",0.139135735382641,0
"421","3","female",0.340630357378346,0,"0",0.0154685698179998,0
"422","1","female",0.459316893050244,1,"0",0.10364429745562,0
"423","3","male",0.459316893050244,0,"0",0.0157125535690724,0
"424","3","male",0.360498123891152,0,"0",0.0165095020935758,0
"425","1","male",0.709877357246472,0,"0",0.101228858320002,0
"426","3","male",0.0241329289199525,3,"1",0.0411356604308324,0
"427","3","female",0.353817750230779,0,"2",0.0217307543665284,1
"428","2","female",0.182381643149149,1,"0",0.0586942926540201,1
"429","3","female",0.0505077146248187,1,"1",0.032596229143293,0
"430","1","female",0.762626928656205,0,"0",0.0518221487278102,1
"431","3","male",0.261506000263748,0,"0",0.0157125535690724,1
"432","3","male",0.512066464459976,1,"5",0.0610447345183526,1
"433","3","female",0.182381643149149,0,"0",0.0153303774213923,1
"434","2","female",0.723064750098905,0,"0",0.0312299201372867,0
"435","3","male",0.0241329289199525,4,"1",0.0568482139999047,0
"436","2","male",0.436896269509231,0,"0",0.0253743101115455,1
"437","3","female",0.406567321640512,1,"0",0.0351336601544476,0
"438","3","female",0.365938244878207,0,"0",0.0141022608119935,1
"439","2","male",0.459316893050244,0,"0",0.0507486202230909,0
"440","2","male",0.446129500197811,0,"0",0.0253743101115455,0
"441","3","female",0.195569036001582,0,"0",0.0156719546728939,1
"442","1","male",0.367005143083212,0,"0",0.0692913853046049,0
"443","3","female",0.103257286034551,3,"1",0.0411356604308324,0
"444","3","female",0.498879071607543,1,"5",0.0612643198943179,1
"445","3","male",0.375541835425285,0,"0",0.0141022608119935,1
"446","1","male",0.248318607411315,3,"2",0.513341812256651,1
"447","3","female",0.321465207803557,0,"0",0.0153791741716068,1
"448","3","male",0.365420768821739,0,"0",0.0154115752137493,1
"449","1","male",0.525253857312409,0,"0",0.0541073981338561,1
"450","1","female",0.466153958319363,1,"0",0.28598955515321,1
"451","3","female",0.328805444965405,0,"0",0.0151269925664983,0
"452","2","male",0.868126071475669,0,"0",0.0204946350900944,0
"453","1","male",0.367005143083212,1,"0",0.16038672010106,0
